Affiliation,coauthors,title,sementic_type,Journal_Discriptor,Class
0,0.25,0,0.222,0,0
0.105,0.333,0,0,0,0
0.143,0.5,0,0.027,0,0
0.214,0.091,0,0.091,0.091,0
0,0.333,0,0.097,0.389,0
0,0.333,0,0.462,0.368,0
0.048,0.25,0,0.207,0,0
0,0.5,0,0,0.412,0
0,0.333,0,0.32,0,0
0.077,0.059,0,0,0,0
0.067,0.5,0,0.097,0,0
0.12,0.333,0,0.034,0.35,0
0.154,0.143,0,0.061,0.091,0
0.231,0.091,0,0.133,0.238,0
0.125,0.111,0,0.333,0.211,0
0,0.5,0.067,0.026,0.091,1
0.231,0.118,0,0.097,0,0
0.167,0.25,0,0.088,0.389,0
0.107,0.333,0,0.458,0,0
0.069,0.062,0,0,0.533,0
0.429,0.333,0,0.571,0,1
0.062,0.5,0,0,0.182,0
0.158,0.5,0,0.296,0,0
0.2,0.333,0,0.031,0.533,0
0.2,0.143,0,0.6,0,1
0,0.133,0.143,0,0,0
0,0.333,0.053,0,0.222,0
0,0.5,0.111,0.026,0,0
0,0.067,0.077,0.054,0.429,0
0,0.5,0.059,0.027,0,1
0,1,0,0.053,0.211,0
0,1,0,0.026,0,0
0,0.5,0.074,0,0.429,0
0,0.2,0.105,0.028,0.438,1
0.059,1,0.056,0.259,0,0
0.067,0.5,0,0,1,0
0.118,0.2,0,0.938,0,1
0,0.5,0.067,0.026,0.091,1
0.429,0.333,0,0.571,0,1
0.2,0.143,0,0.6,0,1
0,0.5,0.059,0.027,0,1
0,0.2,0.105,0.028,0.438,1
0.118,0.2,0,0.938,0,1
0,0.5,0.067,0.026,0.091,1
0.429,0.333,0,0.571,0,1
0.2,0.143,0,0.6,0,1
0,0.5,0.059,0.027,0,1
0,0.2,0.105,0.028,0.438,1
0.118,0.2,0,0.938,0,1
0,0.25,0,0.222,0,0
0.105,0.333,0,0,0,0
0.143,0.5,0,0.027,0,0
0.214,0.091,0,0.091,0.091,0
0,0.333,0,0.097,0.389,0
0,0.333,0,0.462,0.368,0
0.048,0.25,0,0.207,0,0
0,0.5,0,0,0.412,0
0,0.333,0,0.32,0,0
0.077,0.059,0,0,0,0
0.067,0.5,0,0.097,0,0
0.12,0.333,0,0.034,0.35,0
0.154,0.143,0,0.061,0.091,0
0.231,0.091,0,0.133,0.238,0
0.125,0.111,0,0.333,0.211,0
0,0.5,0.067,0.026,0.091,1
0.231,0.118,0,0.097,0,0
0.167,0.25,0,0.088,0.389,0
0.107,0.333,0,0.458,0,0
0.069,0.062,0,0,0.533,0
0.429,0.333,0,0.571,0,1
0.062,0.5,0,0,0.182,0
0.158,0.5,0,0.296,0,0
0.2,0.333,0,0.031,0.533,0
0.2,0.143,0,0.6,0,1
0,0.133,0.143,0,0,0
0,0.333,0.053,0,0.222,0
0,0.5,0.111,0.026,0,0
0,0.067,0.077,0.054,0.429,0
0,0.5,0.059,0.027,0,1
0,1,0,0.053,0.211,0
0,1,0,0.026,0,0
0,0.5,0.074,0,0.429,0
0,0.2,0.105,0.028,0.438,1
0.059,1,0.056,0.259,0,0
0.067,0.5,0,0,1,0
0.118,0.2,0,0.938,0,1
0,0.5,0.067,0.026,0.091,1
0.429,0.333,0,0.571,0,1
0.2,0.143,0,0.6,0,1
0,0.5,0.059,0.027,0,1
0,0.2,0.105,0.028,0.438,1
0.118,0.2,0,0.938,0,1
0,0.5,0.067,0.026,0.091,1
0.429,0.333,0,0.571,0,1
0.2,0.143,0,0.6,0,1
0,0.5,0.059,0.027,0,1
0,0.2,0.105,0.028,0.438,1
0.118,0.2,0,0.938,0,1
0,0.25,0,0.222,0,0
0.105,0.333,0,0,0,0
0.143,0.5,0,0.027,0,0
0.214,0.091,0,0.091,0.091,0
0,0.333,0,0.097,0.389,0
0,0.333,0,0.462,0.368,0
0.048,0.25,0,0.207,0,0
0,0.5,0,0,0.412,0
0,0.333,0,0.32,0,0
0.077,0.059,0,0,0,0
0.067,0.5,0,0.097,0,0
0.12,0.333,0,0.034,0.35,0
0.154,0.143,0,0.061,0.091,0
0.231,0.091,0,0.133,0.238,0
0.125,0.111,0,0.333,0.211,0
0,0.5,0.067,0.026,0.091,1
0.231,0.118,0,0.097,0,0
0.167,0.25,0,0.088,0.389,0
0.107,0.333,0,0.458,0,0
0.069,0.062,0,0,0.533,0
0.429,0.333,0,0.571,0,1
0.062,0.5,0,0,0.182,0
0.158,0.5,0,0.296,0,0
0.2,0.333,0,0.031,0.533,0
0.2,0.143,0,0.6,0,1
0,0.133,0.143,0,0,0
0,0.333,0.053,0,0.222,0
0,0.5,0.111,0.026,0,0
0,0.067,0.077,0.054,0.429,0
0,0.5,0.059,0.027,0,1
0,1,0,0.053,0.211,0
0,1,0,0.026,0,0
0,0.5,0.074,0,0.429,0
0,0.2,0.105,0.028,0.438,1
0.059,1,0.056,0.259,0,0
0.067,0.5,0,0,1,0
0.118,0.2,0,0.938,0,1
0,0.5,0.067,0.026,0.091,1
0.429,0.333,0,0.571,0,1
0.2,0.143,0,0.6,0,1
0,0.5,0.059,0.027,0,1
0,0.2,0.105,0.028,0.438,1
0.118,0.2,0,0.938,0,1
0,0.5,0.067,0.026,0.091,1
0.429,0.333,0,0.571,0,1
0.2,0.143,0,0.6,0,1
0,0.5,0.059,0.027,0,1
0,0.2,0.105,0.028,0.438,1
0.118,0.2,0,0.938,0,1
0,0.25,0,0.222,0,0
0.105,0.333,0,0,0,0
0.143,0.5,0,0.027,0,0
0.214,0.091,0,0.091,0.091,0
0,0.333,0,0.097,0.389,0
0,0.333,0,0.462,0.368,0
0.048,0.25,0,0.207,0,0
0,0.5,0,0,0.412,0
0,0.333,0,0.32,0,0
0.077,0.059,0,0,0,0
0.067,0.5,0,0.097,0,0
0.12,0.333,0,0.034,0.35,0
0.154,0.143,0,0.061,0.091,0
0.231,0.091,0,0.133,0.238,0
0.125,0.111,0,0.333,0.211,0
0.231,0.118,0,0.097,0,0
0.167,0.25,0,0.088,0.389,0
0.107,0.333,0,0.458,0,0
0.069,0.062,0,0,0.533,0
0.062,0.5,0,0,0.182,0
0.158,0.5,0,0.296,0,0
0.2,0.333,0,0.031,0.533,0
0,0.133,0.143,0,0,0
0,0.333,0.053,0,0.222,0
0,0.5,0.111,0.026,0,0
0,0.067,0.077,0.054,0.429,0
0,1,0,0.053,0.211,0
0,1,0,0.026,0,0
0,0.5,0.074,0,0.429,0
0.059,1,0.056,0.259,0,0
0.067,0.5,0,0,1,0
0,0.25,0,0.222,0,0
0.105,0.333,0,0,0,0
0.143,0.5,0,0.027,0,0
0.214,0.091,0,0.091,0.091,0
0,0.333,0,0.097,0.389,0
0,0.333,0,0.462,0.368,0
0.048,0.25,0,0.207,0,0
0,0.5,0,0,0.412,0
0,0.333,0,0.32,0,0
0.077,0.059,0,0,0,0
0.067,0.5,0,0.097,0,0
0.12,0.333,0,0.034,0.35,0
0.154,0.143,0,0.061,0.091,0
0.231,0.091,0,0.133,0.238,0
0.125,0.111,0,0.333,0.211,0
0.231,0.118,0,0.097,0,0
0.167,0.25,0,0.088,0.389,0
0.107,0.333,0,0.458,0,0
0.069,0.062,0,0,0.533,0
0.062,0.5,0,0,0.182,0
0.158,0.5,0,0.296,0,0
0.2,0.333,0,0.031,0.533,0
0,0.133,0.143,0,0,0
0,0.333,0.053,0,0.222,0
0,0.5,0.111,0.026,0,0
0,0.067,0.077,0.054,0.429,0
0,1,0,0.053,0.211,0
0,1,0,0.026,0,0
0,0.5,0.074,0,0.429,0
0.059,1,0.056,0.259,0,0
0.067,0.5,0,0,1,0
0,0.25,0,0.222,0,0
0.105,0.333,0,0,0,0
0.143,0.5,0,0.027,0,0
0.214,0.091,0,0.091,0.091,0
0,0.333,0,0.097,0.389,0
0,0.333,0,0.462,0.368,0
0.048,0.25,0,0.207,0,0
0,0.5,0,0,0.412,0
0,0.333,0,0.32,0,0
0.077,0.059,0,0,0,0
0.067,0.5,0,0.097,0,0
0.12,0.333,0,0.034,0.35,0
0.154,0.143,0,0.061,0.091,0
0.231,0.091,0,0.133,0.238,0
0.125,0.111,0,0.333,0.211,0
0.231,0.118,0,0.097,0,0
0.167,0.25,0,0.088,0.389,0
0.107,0.333,0,0.458,0,0
0.069,0.062,0,0,0.533,0
0.062,0.5,0,0,0.182,0
0.158,0.5,0,0.296,0,0
0.2,0.333,0,0.031,0.533,0
0,0.133,0.143,0,0,0
0,0.333,0.053,0,0.222,0
0,0.5,0.111,0.026,0,0
0,0.067,0.077,0.054,0.429,0
0,1,0,0.053,0.211,0
0,1,0,0.026,0,0
0,0.5,0.074,0,0.429,0
0.059,1,0.056,0.259,0,0
0.067,0.5,0,0,1,0
